ModelName;InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;;median;max;median;max;count;sum;sum;median;max;median;max
ChatClient;3;2;Inciident;0.045;0.07;10.5;14.0;100;33;0;5.0;10.0;1.0;4.0
ChatClient;3;2;Random;0.0285;0.046;18.0;64.0;100;56;0;5.0;10.0;0.0;2.0
ChatClient;3;2;iident;0.052;0.065;8.0;11.0;100;45;0;5.0;10.0;0.0;3.0
ChatClient;3;3;Inciident;0.0555;0.086;12.0;21.0;100;0;0;6.0;10.0;0.0;0.0
ChatClient;3;3;Random;0.0485;0.07;78.0;81.0;100;0;0;6.0;10.0;0.0;0.0
ChatClient;3;3;iident;0.082;0.119;11.0;15.0;100;0;0;6.0;10.0;0.0;0.0
DMIE;1;1;Inciident;0.136;0.167;11.5;12.0;100;0;0;22.0;25.0;0.0;0.0
DMIE;1;1;Random;0.052;0.106;13.0;88.0;100;0;0;22.0;25.0;0.0;0.0
DMIE;1;1;iident;0.1495;0.179;11.5;12.0;100;0;0;22.0;25.0;0.0;0.0
DMIE;1;2;Inciident;0.189;0.274;18.5;25.0;100;0;0;22.0;25.0;0.0;0.0
DMIE;1;2;Random;0.133;0.214;27.0;162.0;100;16;0;22.0;25.0;0.0;0.0
DMIE;1;2;iident;0.3185;0.397;18.0;24.0;100;4;0;22.0;25.0;0.0;0.0
DMIE;1;3;Inciident;0.195;0.261;21.0;27.0;100;0;0;22.0;25.0;0.0;0.0
DMIE;1;3;Random;1.0645;1.654;24.0;230.0;100;46;0;22.5;25.0;0.0;0.0
DMIE;1;3;iident;2.5755;6.133;20.0;24.0;100;24;0;22.0;25.0;0.0;0.0
DMIE;2;1;Inciident;0.1325;0.157;10.0;12.0;100;73;0;21.0;25.0;2.0;3.0
DMIE;2;1;Random;0.046;0.058;11.0;16.0;100;82;0;22.0;24.0;1.5;4.0
DMIE;2;1;iident;0.145;0.185;10.0;12.0;100;73;0;21.0;25.0;2.0;3.0
DMIE;2;2;Inciident;0.228;0.369;21.5;30.0;100;0;0;24.0;27.0;0.0;0.0
DMIE;2;2;Random;0.1405;0.224;29.5;162.0;100;0;0;24.0;27.0;0.0;0.0
DMIE;2;2;iident;0.3425;0.398;19.0;26.0;100;0;0;24.0;27.0;0.0;0.0
DMIE;2;3;Inciident;0.266;0.419;27.0;41.0;100;0;0;24.0;27.0;0.0;0.0
DMIE;2;3;Random;1.4895;2.486;57.5;230.0;100;10;0;24.0;27.0;0.0;0.0
DMIE;2;3;iident;3.817;9.292;24.5;42.0;100;0;0;24.0;27.0;0.0;0.0
DMIE;3;1;Inciident;0.132;0.158;10.0;12.0;100;81;0;21.0;23.0;3.0;5.0
DMIE;3;1;Random;0.047;0.058;12.0;21.0;100;89;0;21.0;22.0;3.0;5.0
DMIE;3;1;iident;0.144;0.18;10.0;12.0;100;81;0;21.0;23.0;3.0;5.0
DMIE;3;2;Inciident;0.2675;0.377;24.0;32.0;100;63;0;21.0;24.0;3.0;7.0
DMIE;3;2;Random;0.144;0.173;30.0;74.0;100;86;0;23.0;24.0;1.0;3.0
DMIE;3;2;iident;0.352;0.428;21.0;29.0;100;71;0;23.0;25.0;2.0;4.0
DMIE;3;3;Inciident;0.367;0.804;36.0;56.0;100;0;0;25.0;28.0;0.0;0.0
DMIE;3;3;Random;1.887;2.928;57.0;230.0;100;0;0;25.0;28.0;0.0;0.0
DMIE;3;3;iident;4.848;9.473;30.0;52.0;100;0;0;25.0;28.0;0.0;0.0
E-Shop;1;1;Inciident;0.112;0.135;11.0;12.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;1;Random;0.0445;0.107;15.0;85.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;1;iident;0.122;0.148;11.0;12.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;2;Inciident;0.192;0.277;21.0;25.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;2;Random;0.1755;0.247;157.0;157.0;100;4;0;39.5;80.0;0.0;0.0
E-Shop;1;2;iident;0.3055;0.362;19.0;24.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;3;Inciident;0.205;0.381;22.0;28.0;100;0;0;39.0;80.0;0.0;0.0
E-Shop;1;3;Random;0.9245000000000001;2.067;223.0;223.0;100;10;0;40.0;80.0;0.0;0.0
E-Shop;1;3;iident;1.9075;3.432;20.5;29.0;100;8;0;40.0;80.0;0.0;0.0
E-Shop;2;1;Inciident;0.109;0.143;10.0;12.0;100;61;0;37.0;80.0;4.0;15.0
E-Shop;2;1;Random;0.037;0.085;12.0;85.0;100;84;0;39.5;52.0;3.0;10.0
E-Shop;2;1;iident;0.1215;0.146;10.0;12.0;100;61;0;37.0;80.0;4.0;15.0
E-Shop;2;2;Inciident;0.2025;0.306;19.0;30.0;100;0;0;44.0;81.0;0.0;0.0
E-Shop;2;2;Random;0.173;0.211;157.0;157.0;100;0;0;44.0;81.0;0.0;0.0
E-Shop;2;2;iident;0.302;0.371;17.5;27.0;100;0;0;44.0;81.0;0.0;0.0
E-Shop;2;3;Inciident;0.2755;0.443;27.0;50.0;100;0;0;44.0;81.0;0.0;0.0
E-Shop;2;3;Random;1.0775000000000001;2.262;223.0;223.0;100;2;0;44.0;81.0;0.0;0.0
E-Shop;2;3;iident;2.1925;4.314;24.5;47.0;100;0;0;44.0;81.0;0.0;0.0
E-Shop;3;1;Inciident;0.109;0.143;10.0;12.0;100;78;0;38.0;80.0;7.5;23.0
E-Shop;3;1;Random;0.036;0.061;11.5;41.0;100;93;0;34.0;43.0;11.0;18.0
E-Shop;3;1;iident;0.123;0.149;10.0;12.0;100;78;0;38.0;80.0;7.5;23.0
E-Shop;3;2;Inciident;0.231;0.35;21.0;37.0;100;49;0;43.0;81.0;4.0;22.0
E-Shop;3;2;Random;0.118;0.199;33.5;157.0;100;80;0;46.5;81.0;0.0;17.0
E-Shop;3;2;iident;0.308;0.431;18.0;33.0;100;48;0;43.0;81.0;1.5;18.0
E-Shop;3;3;Inciident;0.3415;0.669;31.0;60.0;100;0;0;48.0;108.0;0.0;0.0
E-Shop;3;3;Random;1.186;2.467;223.0;223.0;100;0;0;48.0;108.0;0.0;0.0
E-Shop;3;3;iident;2.4065000000000003;4.223;25.0;57.0;100;0;0;48.0;108.0;0.0;0.0
EMBToolkit;1;1;Inciident;0.2415;0.352;12.5;27.0;10;0;0;328.5;837.0;0.0;0.0
EMBToolkit;1;1;Random;0.14350000000000002;0.234;94.0;101.0;10;0;0;328.5;837.0;0.0;0.0
EMBToolkit;1;1;iident;0.2325;0.343;12.5;27.0;10;0;0;328.5;837.0;0.0;0.0
EMBToolkit;1;2;Inciident;0.782;3.71;77.0;90.0;10;0;0;328.5;837.0;0.0;0.0
EMBToolkit;1;2;Random;0.388;1.478;188.0;188.0;10;7;0;329.0;837.0;0.0;0.0
EMBToolkit;1;2;iident;0.9835;4.607;75.0;90.0;10;1;0;329.0;837.0;0.0;0.0
EMBToolkit;1;3;Inciident;0.8175;18.719;79.5;92.0;10;0;0;328.5;837.0;0.0;0.0
EMBToolkit;1;3;Random;12.296;218.643;270.0;270.0;10;7;0;328.0;333.0;0.0;0.0
EMBToolkit;1;3;iident;55.745;768.565;72.0;125.0;10;3;0;329.0;837.0;0.0;0.0
EMBToolkit;2;1;Inciident;0.21;0.273;12.0;13.0;10;1;0;328.0;837.0;1.0;8.0
EMBToolkit;2;1;Random;0.08399999999999999;0.219;16.5;101.0;10;4;0;328.0;837.0;1.0;8.0
EMBToolkit;2;1;iident;0.218;0.274;12.0;13.0;10;1;0;328.0;837.0;1.0;8.0
EMBToolkit;2;2;Inciident;0.39649999999999996;3.718;22.5;90.0;10;0;0;334.5;837.0;0.0;0.0
EMBToolkit;2;2;Random;0.35450000000000004;1.469;188.0;188.0;10;0;0;334.5;837.0;0.0;0.0
EMBToolkit;2;2;iident;0.5569999999999999;4.439;22.5;94.0;10;0;0;334.5;837.0;0.0;0.0
EMBToolkit;2;3;Inciident;1.041;18.591;87.0;94.0;10;0;0;334.5;837.0;0.0;0.0
EMBToolkit;2;3;Random;12.4665;217.924;270.0;270.0;10;2;0;334.5;565.0;0.0;0.0
EMBToolkit;2;3;iident;50.0305;779.556;86.5;125.0;10;0;0;334.5;837.0;0.0;0.0
EMBToolkit;3;1;Inciident;0.202;0.262;11.0;13.0;10;3;0;328.0;837.0;2.0;9.0
EMBToolkit;3;1;Random;0.063;0.109;10.5;56.0;10;9;0;328.0;328.0;2.0;2.0
EMBToolkit;3;1;iident;0.215;0.27;11.0;13.0;10;3;0;328.0;837.0;2.0;9.0
EMBToolkit;3;2;Inciident;0.385;0.88;20.0;42.0;10;1;0;335.0;841.0;1.0;2.0
EMBToolkit;3;2;Random;0.28300000000000003;0.498;57.5;188.0;10;4;0;446.5;841.0;0.5;1.0
EMBToolkit;3;2;iident;0.6315;1.033;20.5;35.0;10;0;0;334.5;841.0;1.0;1.0
EMBToolkit;3;3;Inciident;0.6085;5.199;42.5;98.0;10;0;0;335.5;841.0;0.0;0.0
EMBToolkit;3;3;Random;13.7345;36.136;270.0;270.0;10;2;0;333.0;573.0;0.0;0.0
EMBToolkit;3;3;iident;50.495999999999995;118.382;48.5;105.0;10;0;0;335.5;841.0;0.0;0.0
FameDB;1;1;Inciident;0.031;0.037;6.0;8.0;100;0;0;8.0;14.0;0.0;0.0
FameDB;1;1;Random;0.03;0.039;43.0;43.0;100;0;0;8.0;14.0;0.0;0.0
FameDB;1;1;iident;0.031;0.039;6.0;8.0;100;0;0;8.0;14.0;0.0;0.0
FameDB;1;2;Inciident;0.043;0.084;10.0;13.0;100;0;0;8.0;14.0;0.0;0.0
FameDB;1;2;Random;0.034;0.069;25.5;73.0;100;19;0;10.0;14.0;0.0;0.0
FameDB;1;2;iident;0.063;0.09;8.0;11.0;100;8;0;8.0;14.0;0.0;0.0
FameDB;1;3;Inciident;0.044;0.083;12.0;16.0;100;0;0;8.0;14.0;0.0;0.0
FameDB;1;3;Random;0.036000000000000004;0.092;16.0;95.0;100;33;0;10.0;14.0;0.0;0.0
FameDB;1;3;iident;0.095;0.112;8.0;10.0;100;16;0;10.0;14.0;0.0;0.0
FameDB;2;1;Inciident;0.029;0.037;6.0;8.0;100;43;0;8.0;14.0;1.0;10.0
FameDB;2;1;Random;0.018;0.039;8.0;43.0;100;62;0;12.0;14.0;0.0;6.0
FameDB;2;1;iident;0.03;0.036;6.0;8.0;100;43;0;8.0;14.0;1.0;10.0
FameDB;2;2;Inciident;0.053;0.081;10.0;14.0;100;0;0;12.0;16.0;0.0;0.0
FameDB;2;2;Random;0.048;0.063;73.0;73.0;100;0;0;12.0;16.0;0.0;0.0
FameDB;2;2;iident;0.065;0.084;9.0;11.0;100;0;0;12.0;16.0;0.0;0.0
